# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\E\1subject\HK6\SoC\doan\doan\doan.csv
# Generated on: Wed Jun 03 21:19:22 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
DRAM_RAS_N,Output,PIN_AE13,3B,B3B_N0,PIN_AE13,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_UDQM,Output,PIN_AK12,3B,B3B_N0,PIN_AK12,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_WE_N,Output,PIN_AA13,3B,B3B_N0,PIN_AA13,3.3-V LVTTL,,,,,,,,,,,,,
KEY[3],Input,PIN_Y16,3B,B3B_N0,PIN_Y16,3.3-V LVTTL,,,,,,,,,,,,,
KEY[2],Input,PIN_W15,3B,B3B_N0,PIN_W15,3.3-V LVTTL,,,,,,,,,,,,,
KEY[1],Input,PIN_AA15,3B,B3B_N0,PIN_AA15,3.3-V LVTTL,,,,,,,,,,,,,
KEY[0],Input,PIN_AA14,3B,B3B_N0,PIN_AA14,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[9],Output,PIN_Y21,5A,B5A_N0,PIN_Y21,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[8],Output,PIN_W21,5A,B5A_N0,PIN_W21,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[7],Output,PIN_W20,5A,B5A_N0,PIN_W20,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[6],Output,PIN_Y19,4A,B4A_N0,PIN_Y19,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[5],Output,PIN_W19,4A,B4A_N0,PIN_W19,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[4],Output,PIN_W17,4A,B4A_N0,PIN_W17,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[3],Output,PIN_V18,4A,B4A_N0,PIN_V18,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[2],Output,PIN_V17,4A,B4A_N0,PIN_V17,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[1],Output,PIN_W16,4A,B4A_N0,PIN_W16,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[0],Output,PIN_V16,4A,B4A_N0,PIN_V16,3.3-V LVTTL,,,,,,,,,,,,,
SW[9],Input,PIN_AE12,3A,B3A_N0,PIN_AE12,3.3-V LVTTL,,,,,,,,,,,,,
SW[8],Input,PIN_AD10,3A,B3A_N0,PIN_AD10,3.3-V LVTTL,,,,,,,,,,,,,
SW[7],Input,PIN_AC9,3A,B3A_N0,PIN_AC9,3.3-V LVTTL,,,,,,,,,,,,,
SW[6],Input,PIN_AE11,3A,B3A_N0,PIN_AE11,3.3-V LVTTL,,,,,,,,,,,,,
SW[5],Input,PIN_AD12,3A,B3A_N0,PIN_AD12,3.3-V LVTTL,,,,,,,,,,,,,
SW[4],Input,PIN_AD11,3A,B3A_N0,PIN_AD11,3.3-V LVTTL,,,,,,,,,,,,,
SW[3],Input,PIN_AF10,3A,B3A_N0,PIN_AF10,3.3-V LVTTL,,,,,,,,,,,,,
SW[2],Input,PIN_AF9,3A,B3A_N0,PIN_AF9,3.3-V LVTTL,,,,,,,,,,,,,
SW[1],Input,PIN_AC12,3A,B3A_N0,PIN_AC12,3.3-V LVTTL,,,,,,,,,,,,,
SW[0],Input,PIN_AB12,3A,B3A_N0,PIN_AB12,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[7],Output,PIN_J14,8A,B8A_N0,PIN_J14,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[6],Output,PIN_G15,8A,B8A_N0,PIN_G15,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[5],Output,PIN_F15,8A,B8A_N0,PIN_F15,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[4],Output,PIN_H14,8A,B8A_N0,PIN_H14,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[3],Output,PIN_F14,8A,B8A_N0,PIN_F14,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[2],Output,PIN_H13,8A,B8A_N0,PIN_H13,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[1],Output,PIN_G13,8A,B8A_N0,PIN_G13,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[0],Output,PIN_B13,8A,B8A_N0,PIN_B13,3.3-V LVTTL,,,,,,,,,,,,,
VGA_BLANK_N,Output,PIN_F10,8A,B8A_N0,PIN_F10,3.3-V LVTTL,,,,,,,,,,,,,
VGA_CLK,Output,PIN_A11,8A,B8A_N0,PIN_A11,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[7],Output,PIN_E11,8A,B8A_N0,PIN_E11,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[6],Output,PIN_F11,8A,B8A_N0,PIN_F11,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[5],Output,PIN_G12,8A,B8A_N0,PIN_G12,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[4],Output,PIN_G11,8A,B8A_N0,PIN_G11,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[3],Output,PIN_G10,8A,B8A_N0,PIN_G10,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[2],Output,PIN_H12,8A,B8A_N0,PIN_H12,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[1],Output,PIN_J10,8A,B8A_N0,PIN_J10,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[0],Output,PIN_J9,8A,B8A_N0,PIN_J9,3.3-V LVTTL,,,,,,,,,,,,,
VGA_HS,Output,PIN_B11,8A,B8A_N0,PIN_B11,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[7],Output,PIN_F13,8A,B8A_N0,PIN_F13,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[6],Output,PIN_E12,8A,B8A_N0,PIN_E12,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[5],Output,PIN_D12,8A,B8A_N0,PIN_D12,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[4],Output,PIN_C12,8A,B8A_N0,PIN_C12,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[3],Output,PIN_B12,8A,B8A_N0,PIN_B12,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[2],Output,PIN_E13,8A,B8A_N0,PIN_E13,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[1],Output,PIN_C13,8A,B8A_N0,PIN_C13,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[0],Output,PIN_A13,8A,B8A_N0,PIN_A13,3.3-V LVTTL,,,,,,,,,,,,,
VGA_SYNC_N,Output,PIN_C10,8A,B8A_N0,PIN_C10,3.3-V LVTTL,,,,,,,,,,,,,
VGA_VS,Output,PIN_D11,8A,B8A_N0,PIN_D11,3.3-V LVTTL,,,,,,,,,,,,,
altera_reserved_tck,Input,,,,PIN_AC5,,,,,,,,,,,,,,
altera_reserved_tdi,Input,,,,PIN_U8,,,,,,,,,,,,,,
altera_reserved_tdo,Output,,,,PIN_AB9,,,,,,,,,,,,,,
altera_reserved_tms,Input,,,,PIN_V9,,,,,,,,,,,,,,
SW[*],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_*,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
VGA_*,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
CAM_DATA[*],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
CAM_*,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
